,Sequence_ID,PWB,Ndata,Sequence.Size,Size,T,t,Signaller,logduration
1,5,0,1,1,1,2.88,2.88,Duane,1.057790294
2,6,0,1,1,1,2.56,2.56,Duane,0.940007258
3,7,0,2,2,2,1.84,0.92,Duane,-0.083381609
4,8,0,2,2,2,2.28,1.14,Duane,0.131028262
5,9,0,1,1,1,4.08,4.08,Duane,1.406096988
6,10,0,1,1,1,4.16,4.16,Duane,1.425515074
7,11,0,1,1,1,3.68,3.68,Duane,1.302912752
8,12,0,1,1,1,2.28,2.28,Duane,0.824175443
9,13,0,2,2,2,12.84,6.42,Duane,1.859418118
10,14,0,1,1,1,4.52,4.52,Duane,1.508511994
11,15,0,1,1,1,5.28,5.28,Duane,1.663926098
12,16,0,1,1,1,1.24,1.24,Duane,0.21511138
13,18,0,1,1,1,3.92,3.92,Duane,1.366091654
14,19,0,1,1,1,1.2,1.2,Duane,0.182321557
15,20,0,1,1,1,12.72,12.72,Duane,2.543175558
16,21,0,2,2,2,4,2,Duane,0.693147181
17,22,0,3,3,3,5.88,1.96,Duane,0.672944473
18,23,0,1,1,1,5.8,5.8,Duane,1.757857918
19,25,0,1,1,1,1.8,1.8,Duane,0.587786665
20,26,0,1,1,1,5.12,5.12,Duane,1.633154439
21,27,0,1,1,1,3.44,3.44,Duane,1.235471471
22,29,0,1,1,1,1.52,1.52,Duane,0.418710335
23,30,0,1,1,1,5.36,5.36,Duane,1.678963975
24,31,0,1,1,1,2.92,2.92,Duane,1.071583616
25,35,0,2,2,2,6.08,3.04,Duane,1.111857515
26,36,0,1,1,1,1.24,1.24,Duane,0.21511138
27,37,0,1,1,1,1.8,1.8,Duane,0.587786665
28,41,0,2,2,2,6.8,3.4,Duane,1.223775432
29,42,0,1,1,1,1.44,1.44,Duane,0.364643114
30,43,0,1,1,1,8.48,8.48,Duane,2.13771045
31,44,0,1,1,1,3.16,3.16,Duane,1.150572028
32,45,0,2,2,2,5.08,2.54,Duane,0.932164081
33,48,0.25,4,4,4,4.84,1.21,Duane,0.19062036
34,52,0,1,1,1,0.8,0.8,Duane,-0.223143551
35,53,0,2,2,2,2.64,1.32,Duane,0.277631737
36,54,0,3,3,3,5.96,1.986666667,Duane,0.686458193
