,ClipName,Record.,Signaller,Recipient,SequenceID,SequenceSize,Gesture,Duration,Category,n,P,logduration
1,11.85,999,Duane,Lola,6,1,Stomping object/ground,2.56,Manual,3,0.010169492,0.940007258
2,11.88,1001,Duane,Lola,7,2,Hit object/ground,0.36,Manual,46,0.155932203,-1.021651248
3,11.91,1018,Duane,Lola,21,2,Stomp object/ground,0.2,Manual,24,0.081355932,-1.609437912
4,11.93,1021,Duane,Lola,22,3,Hit object/ground,1.52,Manual,46,0.155932203,0.418710335
5,11.108,1042,Duane,Lola,37,1,Hit object/ground,1.8,Manual,46,0.155932203,0.587786665
6,11.115,1058,Duane,Lola,48,4,Hit object/ground,0.32,Manual,46,0.155932203,-1.139434283
7,11.115,1057,Duane,Lola,48,4,Jump,0.72,Body,13,0.044067797,-0.328504067
8,11.115,1059,Duane,Lola,48,4,Stomp 2-feet object/ground,0.44,Manual,3,0.010169492,-0.820980552
9,11.126,1072,Duane,Lola,53,2,Swing,0.6,Manual,22,0.074576271,-0.510825624
10,11.126,1076,Duane,Lola,54,3,Throw object,0.32,Manual,5,0.016949153,-1.139434283
11,11.129,1081,Duane,Lola,56,5,Hit object/ground,0.72,Manual,46,0.155932203,-0.328504067
12,11.129,1079,Duane,Lola,56,5,Stomp object/ground,0.48,Manual,24,0.081355932,-0.733969175
13,11.129,1080,Duane,Lola,56,5,Swing,0.32,Manual,22,0.074576271,-1.139434283
14,11.129,1082,Duane,Lola,57,2,Stomp object/ground,0.24,Manual,24,0.081355932,-1.427116356
15,11.133,1087,Duane,Lola,60,2,Hit object/ground,0.4,Manual,46,0.155932203,-0.916290732
16,11.133,1088,Duane,Lola,61,4,Jump,0.72,Body,13,0.044067797,-0.328504067
17,11.133,1091,Duane,Lola,61,4,Object move,0.32,Manual,46,0.155932203,-1.139434283
18,11.133,1090,Duane,Lola,61,4,Stomp 2-feet object/ground,0.4,Manual,3,0.010169492,-0.916290732
19,11.134,1092,Duane,Lola,62,3,Swing,1.28,Manual,22,0.074576271,0.246860078
20,11.134,1093,Duane,Lola,62,3,Swing,1.72,Manual,22,0.074576271,0.542324291
21,11.135,1096,Duane,Lola,63,2,Stomp object/ground,0.6,Manual,24,0.081355932,-0.510825624
22,11.135,1099,Duane,Lola,64,6,Hit object/ground,1.32,Manual,46,0.155932203,0.277631737
23,11.135,1102,Duane,Lola,64,6,Jump,0.44,Body,13,0.044067797,-0.820980552
24,11.135,1097,Duane,Lola,64,6,Object move,0.36,Manual,46,0.155932203,-1.021651248
25,11.137,1106,Duane,Lola,65,2,Hit object/ground,0.32,Manual,46,0.155932203,-1.139434283
26,11.137,1105,Duane,Lola,65,2,Swing,0.72,Manual,22,0.074576271,-0.328504067
27,11.137,1107,Duane,Lola,66,1,Object move,1.68,Manual,46,0.155932203,0.518793793
28,11.137,1108,Duane,Lola,67,1,Object move,2.4,Manual,46,0.155932203,0.875468737
29,11.143,1111,Duane,Lola,69,5,Hit object/ground,0.2,Manual,46,0.155932203,-1.609437912
30,11.143,1113,Duane,Lola,69,5,Hit object/ground,0.24,Manual,46,0.155932203,-1.427116356
31,11.143,1112,Duane,Lola,69,5,Jump,0.68,Body,13,0.044067797,-0.385662481
32,11.143,1112,Duane,Lola,69,5,Jump,0.48,Body,13,0.044067797,-0.733969175
33,11.165,1122,Duane,Lola,73,2,Stomp object/ground,0.68,Manual,24,0.081355932,-0.385662481
34,11.169,1127,Duane,Lola,74,5,Hit object/ground,0.28,Manual,46,0.155932203,-1.272965676
35,11.169,1128,Duane,Lola,74,5,Hit object/ground,0.48,Manual,46,0.155932203,-0.733969175
36,11.169,1126,Duane,Lola,74,5,Jump,0.6,Body,13,0.044067797,-0.510825624
37,11.169,1126,Duane,Lola,74,5,Jump,0.68,Body,13,0.044067797,-0.385662481
38,11.191,1131,Duane,Lola,75,5,Jump,0.48,Body,13,0.044067797,-0.733969175
39,11.191,1133,Duane,Lola,75,5,Jump,0.68,Body,13,0.044067797,-0.385662481
40,11.191,1132,Duane,Lola,75,5,Stomp object/ground,0.48,Manual,24,0.081355932,-0.733969175
41,11.191,1130,Duane,Lola,75,5,Swing,1.04,Manual,22,0.074576271,0.039220713
42,15.132,648,Duane,Zimba,103,3,Jump,0.28,Body,13,0.044067797,-1.272965676
43,15.143,666,Duane,Zimba,116,3,Hit object/ground with object,5.52,Manual,13,0.044067797,1.70837786
44,15.143,668,Duane,Zimba,116,3,Hit object/ground with object,1.72,Manual,13,0.044067797,0.542324291
45,15.143,669,Duane,Zimba,117,1,Hit object/ground with object,2,Manual,13,0.044067797,0.693147181
46,15.143,670,Duane,Zimba,118,1,Hit object/ground with object,1.52,Manual,13,0.044067797,0.418710335
47,15.145,672,Duane,Zimba,119,3,Hit object/ground,1.48,Manual,46,0.155932203,0.392042088
48,15.145,676,Duane,Zimba,120,3,Jump,0.56,Body,13,0.044067797,-0.579818495
49,15.145,680,Duane,Zimba,122,2,Shake arm,1.04,Manual,2,0.006779661,0.039220713
50,15.148,682,Duane,Zimba,123,3,Hit object/ground with object,0.6,Manual,13,0.044067797,-0.510825624
51,15.148,684,Duane,Zimba,123,3,Stomp 2-feet object/ground,1.52,Manual,3,0.010169492,0.418710335
52,15.148,685,Duane,Zimba,124,1,Hit object/ground with object,2.2,Manual,13,0.044067797,0.78845736
53,15.148,686,Duane,Zimba,125,1,Hit object/ground with object,0.44,Manual,13,0.044067797,-0.820980552
54,15.148,687,Duane,Zimba,126,6,Hit object/ground,1.04,Manual,46,0.155932203,0.039220713
55,15.148,688,Duane,Zimba,126,6,Hit object/ground,0.88,Manual,46,0.155932203,-0.127833372
56,15.148,691,Duane,Zimba,126,6,Stomp object/ground,0.28,Manual,24,0.081355932,-1.272965676
57,15.15,695,Duane,Zimba,128,3,Swing,0.48,Manual,22,0.074576271,-0.733969175
58,15.15,698,Duane,Zimba,129,2,Swing,1.16,Manual,22,0.074576271,0.148420005
59,15.151,700,Duane,Zimba,130,2,Object move,3.32,Manual,46,0.155932203,1.199964783
60,15.151,703,Duane,Zimba,131,2,Hit object/ground,0.88,Manual,46,0.155932203,-0.127833372
61,15.151,702,Duane,Zimba,131,2,Swing: with object,0.92,Manual,4,0.013559322,-0.083381609
62,15.151,705,Duane,Zimba,132,2,Object move,1.4,Manual,46,0.155932203,0.336472237
63,15.173,715,Duane,Zimba,140,2,Hit object/ground with object,0.8,Manual,13,0.044067797,-0.223143551
64,15.173,718,Duane,Zimba,142,1,Hit object/ground with object,10.28,Manual,13,0.044067797,2.33020026
65,15.173,720,Duane,Zimba,143,2,Hit object/ground with object,6.36,Manual,13,0.044067797,1.850028377
66,15.188,734,Duane,Zimba,152,5,Jump,0.36,Body,13,0.044067797,-1.021651248
67,15.188,735,Duane,Zimba,152,5,Stomp object/ground,0.32,Manual,24,0.081355932,-1.139434283
68,16.1,551,Duane,Zimba,166,1,Swing: directed,1,Manual,3,0.010169492,0
69,16.4,558,Duane,Zimba,170,3,Object move,0.64,Manual,46,0.155932203,-0.446287103
70,16.4,556,Duane,Zimba,170,3,Shake head,0.4,Manual,1,0.003389831,-0.916290732
71,16.6,559,Duane,Zimba,171,1,Swing,1.48,Manual,22,0.074576271,0.392042088
72,18.7,391,Duane,Zimba,177,2,Object move,0.6,Manual,46,0.155932203,-0.510825624
73,18.7,392,Duane,Zimba,177,2,Object move,1.04,Manual,46,0.155932203,0.039220713
74,18.7,393,Duane,Zimba,178,1,Object move,0.72,Manual,46,0.155932203,-0.328504067
75,18.7,394,Duane,Zimba,179,1,Object move,0.44,Manual,46,0.155932203,-0.820980552
76,18.7,397,Duane,Zimba,180,4,Object move,4.12,Manual,46,0.155932203,1.415853163
77,18.7,398,Duane,Zimba,180,4,Shake arm,0.84,Manual,2,0.006779661,-0.174353387
78,18.7,395,Duane,Zimba,180,4,Swing,0.96,Manual,22,0.074576271,-0.040821995
79,18.7,396,Duane,Zimba,180,4,Swing,2.12,Manual,22,0.074576271,0.751416089
80,18.7,399,Duane,Zimba,181,1,Object move,0.8,Manual,46,0.155932203,-0.223143551
81,18.1,400,Duane,Zimba,182,2,Object move,0.56,Manual,46,0.155932203,-0.579818495
82,18.1,401,Duane,Zimba,182,2,Throw object,0.36,Manual,5,0.016949153,-1.021651248
83,18.1,402,Duane,Zimba,183,1,Swing,1,Manual,22,0.074576271,0
84,18.11,408,Duane,Zimba,186,5,Hit object/ground,0.4,Manual,46,0.155932203,-0.916290732
85,18.11,407,Duane,Zimba,186,5,Object move,1.8,Manual,46,0.155932203,0.587786665
86,18.11,405,Duane,Zimba,186,5,Swing,2.68,Manual,22,0.074576271,0.985816795
87,18.11,406,Duane,Zimba,186,5,Throw object,0.64,Manual,5,0.016949153,-0.446287103
88,18.12,412,Duane,Zimba,189,2,Hit object/ground,0.76,Manual,46,0.155932203,-0.274436846
89,18.16,422,Duane,Zimba,194,1,Object move,5.08,Manual,46,0.155932203,1.625311262
90,18.17,425,Duane,Zimba,196,2,Hit object/ground with object,1.28,Manual,13,0.044067797,0.246860078
91,18.17,426,Duane,Zimba,197,1,Hit object/ground with object,0.64,Manual,13,0.044067797,-0.446287103
92,18.18,427,Duane,Zimba,198,1,Hit object/ground with object,0.6,Manual,13,0.044067797,-0.510825624
93,18.19,430,Duane,Zimba,200,2,Object move,2.16,Manual,46,0.155932203,0.770108222
94,18.2,433,Duane,Zimba,201,3,Object move,1.6,Manual,46,0.155932203,0.470003629
95,18.2,432,Duane,Zimba,201,3,Swing,1.92,Manual,22,0.074576271,0.652325186
96,18.2,434,Duane,Zimba,201,3,Swing,0.88,Manual,22,0.074576271,-0.127833372
97,18.2,435,Duane,Zimba,202,1,Hit object/ground,0.52,Manual,46,0.155932203,-0.653926467
98,18.2,436,Duane,Zimba,203,1,Swing,1.28,Manual,22,0.074576271,0.246860078
99,18.2,437,Duane,Zimba,204,1,Swing: with object,1.44,Manual,4,0.013559322,0.364643114
100,18.2,442,Duane,Zimba,207,3,Jump,0.24,Body,13,0.044067797,-1.427116356
101,18.2,443,Duane,Zimba,207,3,Wave,0.64,Manual,1,0.003389831,-0.446287103
102,18.21,446,Duane,Zimba,208,3,Object move,0.64,Manual,46,0.155932203,-0.446287103
103,18.21,444,Duane,Zimba,208,3,Swing: with object,2.04,Manual,4,0.013559322,0.712949808
104,18.21,445,Duane,Zimba,208,3,Swing: with object,2.08,Manual,4,0.013559322,0.732367894
