,ClipName,Record.,Signaller,Recipient,SequenceID,SequenceSize,Gesture,P,Duration,Category,logduration
1,11.85,998,Duane,Lola,5,1,Object shake,0.473214286,2.88,Manual,1.057790294
2,11.85,999,Duane,Lola,6,1,Stomping object/ground,0.005357143,2.56,Manual,0.940007258
3,11.88,1001,Duane,Lola,7,2,Hit object/ground,0.082142857,0.36,Manual,-1.021651248
4,11.88,1000,Duane,Lola,7,2,Object shake,0.473214286,1.48,Manual,0.392042088
5,11.88,1002,Duane,Lola,8,2,Object shake,0.473214286,0.44,Manual,-0.820980552
6,11.88,1003,Duane,Lola,8,2,Object shake,0.473214286,1.84,Manual,0.609765572
7,11.88,1004,Duane,Lola,9,1,Object shake,0.473214286,4.08,Manual,1.406096988
8,11.88,1005,Duane,Lola,10,1,Object shake,0.473214286,4.16,Manual,1.425515074
9,11.9,1006,Duane,Lola,11,1,Object shake,0.473214286,3.68,Manual,1.302912752
10,11.9,1007,Duane,Lola,12,1,Object shake,0.473214286,2.28,Manual,0.824175443
11,11.9,1008,Duane,Lola,13,2,Object shake,0.473214286,3.88,Manual,1.355835154
12,11.9,1009,Duane,Lola,13,2,Object shake,0.473214286,8.96,Manual,2.192770227
13,11.9,1010,Duane,Lola,14,1,Object shake,0.473214286,4.52,Manual,1.508511994
14,11.9,1011,Duane,Lola,15,1,Object shake,0.473214286,5.28,Manual,1.663926098
15,11.9,1012,Duane,Lola,16,1,Object shake,0.473214286,1.24,Manual,0.21511138
16,11.91,1014,Duane,Lola,18,1,Object shake,0.473214286,3.92,Manual,1.366091654
17,11.91,1015,Duane,Lola,19,1,Object shake,0.473214286,1.2,Manual,0.182321557
18,11.91,1016,Duane,Lola,20,1,Object shake,0.473214286,12.72,Manual,2.543175558
19,11.91,1017,Duane,Lola,21,2,Object shake,0.473214286,3.8,Manual,1.335001067
20,11.91,1018,Duane,Lola,21,2,Stomp object/ground,0.042857143,0.2,Manual,-1.609437912
21,11.93,1021,Duane,Lola,22,3,Hit object/ground,0.082142857,1.52,Manual,0.418710335
22,11.93,1020,Duane,Lola,22,3,Object shake,0.473214286,3.64,Manual,1.291983682
23,11.93,1022,Duane,Lola,22,3,Object shake,0.473214286,0.72,Manual,-0.328504067
24,11.97,1025,Duane,Lola,23,1,Object shake,0.473214286,5.8,Manual,1.757857918
25,11.98,1027,Duane,Lola,25,1,Object shake,0.473214286,1.8,Manual,0.587786665
26,11.98,1028,Duane,Lola,26,1,Object shake,0.473214286,5.12,Manual,1.633154439
27,11.98,1029,Duane,Lola,27,1,Object shake,0.473214286,3.44,Manual,1.235471471
28,11.106,1032,Duane,Lola,29,1,Object shake,0.473214286,1.52,Manual,0.418710335
29,11.106,1033,Duane,Lola,30,1,Object shake,0.473214286,5.36,Manual,1.678963975
30,11.106,1034,Duane,Lola,31,1,Object shake,0.473214286,2.92,Manual,1.071583616
31,11.108,1039,Duane,Lola,35,2,Object shake,0.473214286,0.68,Manual,-0.385662481
32,11.108,1040,Duane,Lola,35,2,Object shake,0.473214286,5.4,Manual,1.686398954
33,11.108,1041,Duane,Lola,36,1,Object shake,0.473214286,1.24,Manual,0.21511138
34,11.108,1042,Duane,Lola,37,1,Hit object/ground,0.082142857,1.8,Manual,0.587786665
35,11.111,1048,Duane,Lola,41,2,Object shake,0.473214286,2.16,Manual,0.770108222
36,11.111,1049,Duane,Lola,41,2,Object shake,0.473214286,4.64,Manual,1.534714366
37,11.112,1050,Duane,Lola,42,1,Object shake,0.473214286,1.44,Manual,0.364643114
38,11.112,1050,Duane,Lola,43,1,Object shake,0.473214286,8.48,Manual,2.13771045
39,11.113,1051,Duane,Lola,44,1,Object shake,0.473214286,3.16,Manual,1.150572028
40,11.114,1052,Duane,Lola,45,2,Object shake,0.473214286,1.68,Manual,0.518793793
41,11.114,1053,Duane,Lola,45,2,Object shake,0.473214286,3.4,Manual,1.223775432
42,11.115,1058,Duane,Lola,48,4,Hit object/ground,0.082142857,0.32,Manual,-1.139434283
43,11.115,1057,Duane,Lola,48,4,Jump,0.023214286,0.72,Body,-0.328504067
44,11.115,1056,Duane,Lola,48,4,Object shake,0.473214286,3.36,Manual,1.211940974
45,11.115,1059,Duane,Lola,48,4,Stomp 2-feet object/ground,0.005357143,0.44,Manual,-0.820980552
46,11.122,1067,Duane,Lola,50,2,Object shake,0.473214286,2.12,Manual,0.751416089
47,11.126,1071,Duane,Lola,52,1,Object shake,0.473214286,0.8,Manual,-0.223143551
48,11.126,1073,Duane,Lola,53,2,Object shake,0.473214286,2.04,Manual,0.712949808
49,11.126,1072,Duane,Lola,53,2,Swing,0.039285714,0.6,Manual,-0.510825624
50,11.126,1074,Duane,Lola,54,3,Object shake,0.473214286,4.88,Manual,1.58514522
51,11.126,1075,Duane,Lola,54,3,Object shake,0.473214286,0.76,Manual,-0.274436846
52,11.126,1076,Duane,Lola,54,3,Throw object,0.008928571,0.32,Manual,-1.139434283
53,11.127,1077,Duane,Lola,55,1,Object shake,0.473214286,5.68,Manual,1.736951233
54,11.129,1081,Duane,Lola,56,5,Hit object/ground,0.082142857,0.72,Manual,-0.328504067
55,11.129,1078,Duane,Lola,56,5,Object shake,0.473214286,1.76,Manual,0.565313809
56,11.129,1078,Duane,Lola,56,5,Object shake,0.473214286,0.76,Manual,-0.274436846
57,11.129,1079,Duane,Lola,56,5,Stomp object/ground,0.042857143,0.48,Manual,-0.733969175
58,11.129,1080,Duane,Lola,56,5,Swing,0.039285714,0.32,Manual,-1.139434283
59,11.129,1083,Duane,Lola,57,2,Object shake,0.473214286,2.12,Manual,0.751416089
60,11.129,1082,Duane,Lola,57,2,Stomp object/ground,0.042857143,0.24,Manual,-1.427116356
61,11.133,1085,Duane,Lola,59,1,Object shake,0.473214286,2.24,Manual,0.806475866
62,11.133,1087,Duane,Lola,60,2,Hit object/ground,0.082142857,0.4,Manual,-0.916290732
63,11.133,1086,Duane,Lola,60,2,Object shake,0.473214286,3.28,Manual,1.187843422
64,11.133,1088,Duane,Lola,61,4,Jump,0.023214286,0.72,Body,-0.328504067
65,11.133,1091,Duane,Lola,61,4,Object move,0.082142857,0.32,Manual,-1.139434283
66,11.133,1089,Duane,Lola,61,4,Object shake,0.473214286,1,Manual,0
67,11.133,1090,Duane,Lola,61,4,Stomp 2-feet object/ground,0.005357143,0.4,Manual,-0.916290732
68,11.134,1094,Duane,Lola,62,3,Object shake,0.473214286,2.08,Manual,0.732367894
69,11.134,1092,Duane,Lola,62,3,Swing,0.039285714,1.28,Manual,0.246860078
70,11.134,1093,Duane,Lola,62,3,Swing,0.039285714,1.72,Manual,0.542324291
71,11.135,1095,Duane,Lola,63,2,Object shake,0.473214286,0.72,Manual,-0.328504067
72,11.135,1096,Duane,Lola,63,2,Stomp object/ground,0.042857143,0.6,Manual,-0.510825624
73,11.135,1099,Duane,Lola,64,6,Hit object/ground,0.082142857,1.32,Manual,0.277631737
74,11.135,1102,Duane,Lola,64,6,Jump,0.023214286,0.44,Body,-0.820980552
75,11.135,1097,Duane,Lola,64,6,Object move,0.082142857,0.36,Manual,-1.021651248
76,11.135,1098,Duane,Lola,64,6,Object shake,0.473214286,1.28,Manual,0.246860078
77,11.135,1100,Duane,Lola,64,6,Object shake,0.473214286,1.28,Manual,0.246860078
78,11.135,1101,Duane,Lola,64,6,Object shake,0.473214286,2,Manual,0.693147181
79,11.137,1106,Duane,Lola,65,2,Hit object/ground,0.082142857,0.32,Manual,-1.139434283
80,11.137,1105,Duane,Lola,65,2,Swing,0.039285714,0.72,Manual,-0.328504067
81,11.137,1107,Duane,Lola,66,1,Object move,0.082142857,1.68,Manual,0.518793793
82,11.137,1108,Duane,Lola,67,1,Object move,0.082142857,2.4,Manual,0.875468737
83,11.143,1111,Duane,Lola,69,5,Hit object/ground,0.082142857,0.2,Manual,-1.609437912
84,11.143,1113,Duane,Lola,69,5,Hit object/ground,0.082142857,0.24,Manual,-1.427116356
