ClipName,Record#,Signaller,SigAge,AgeClass,SigRankElo,Recipient,RecAge,RecAgeClass,Parous,Conception,SexRatio,SequenceID,SequenceSize,SequenceYN,Gesture,p,Context,Duration,Category,TypeN
11.85,998,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,5,1,N,Object shake,0.473214286,Consortship,2.88,Manual,1
11.85,999,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,6,1,N,Stomping object/ground,0.005357143,Consortship,2.56,Manual,1
11.88,1001,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,7,2,Y,Hit object/ground,0.082142857,Consortship,0.36,Manual,1
11.88,1000,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,7,2,Y,Object shake,0.473214286,Consortship,1.48,Manual,1
11.88,1002,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,8,2,Y,Object shake,0.473214286,Consortship,0.44,Manual,1
11.88,1003,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,8,2,Y,Object shake,0.473214286,Consortship,1.84,Manual,1
11.88,1004,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,9,1,N,Object shake,0.473214286,Consortship,4.08,Manual,1
11.88,1005,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,10,1,N,Object shake,0.473214286,Consortship,4.16,Manual,1
11.9,1006,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,11,1,N,Object shake,0.473214286,Consortship,3.68,Manual,1
11.9,1007,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,12,1,N,Object shake,0.473214286,Consortship,2.28,Manual,1
11.9,1008,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,13,2,Y,Object shake,0.473214286,Consortship,3.88,Manual,1
11.9,1009,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,13,2,Y,Object shake,0.473214286,Consortship,8.96,Manual,1
11.9,1010,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,14,1,N,Object shake,0.473214286,Consortship,4.52,Manual,1
11.9,1011,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,15,1,N,Object shake,0.473214286,Consortship,5.28,Manual,1
11.9,1012,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,16,1,N,Object shake,0.473214286,Consortship,1.24,Manual,1
11.91,1014,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,18,1,N,Object shake,0.473214286,Consortship,3.92,Manual,1
11.91,1015,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,19,1,N,Object shake,0.473214286,Consortship,1.2,Manual,1
11.91,1016,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,20,1,N,Object shake,0.473214286,Consortship,12.72,Manual,1
11.91,1017,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,21,2,Y,Object shake,0.473214286,Consortship,3.8,Manual,1
11.91,1018,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,21,2,Y,Stomp object/ground,0.042857143,Consortship,0.2,Manual,1
11.93,1021,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,22,3,Y,Hit object/ground,0.082142857,Consortship,1.52,Manual,1
11.93,1020,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,22,3,Y,Object shake,0.473214286,Consortship,3.64,Manual,1
11.93,1022,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,22,3,Y,Object shake,0.473214286,Consortship,0.72,Manual,1
11.97,1025,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,23,1,N,Object shake,0.473214286,Consortship,5.8,Manual,1
11.98,1027,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,25,1,N,Object shake,0.473214286,Consortship,1.8,Manual,1
11.98,1028,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,26,1,N,Object shake,0.473214286,Consortship,5.12,Manual,1
11.98,1029,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,27,1,N,Object shake,0.473214286,Consortship,3.44,Manual,1
11.106,1032,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,29,1,N,Object shake,0.473214286,Consortship,1.52,Manual,1
11.106,1033,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,30,1,N,Object shake,0.473214286,Consortship,5.36,Manual,1
11.106,1034,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,31,1,N,Object shake,0.473214286,Consortship,2.92,Manual,1
11.108,1039,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,35,2,Y,Object shake,0.473214286,Consortship,0.68,Manual,1
11.108,1040,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,35,2,Y,Object shake,0.473214286,Consortship,5.4,Manual,1
11.108,1041,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,36,1,N,Object shake,0.473214286,Consortship,1.24,Manual,1
11.108,1042,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,37,1,N,Hit object/ground,0.082142857,Consortship,1.8,Manual,1
11.111,1048,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,41,2,Y,Object shake,0.473214286,Consortship,2.16,Manual,1
11.111,1049,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,41,2,Y,Object shake,0.473214286,Consortship,4.64,Manual,1
11.112,1050,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,42,1,N,Object shake,0.473214286,Consortship,1.44,Manual,1
11.112,1050,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,43,1,N,Object shake,0.473214286,Consortship,8.48,Manual,1
11.113,1051,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,44,1,N,Object shake,0.473214286,Consortship,3.16,Manual,1
11.114,1052,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,45,2,Y,Object shake,0.473214286,Consortship,1.68,Manual,1
11.114,1053,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,45,2,Y,Object shake,0.473214286,Consortship,3.4,Manual,1
11.115,1058,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,48,4,Y,Hit object/ground,0.082142857,Consortship,0.32,Manual,1
11.115,1057,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,48,4,Y,Jump,0.023214286,Consortship,0.72,Body,2
11.115,1056,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,48,4,Y,Object shake,0.473214286,Consortship,3.36,Manual,1
11.115,1059,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,48,4,Y,Stomp 2-feet object/ground,0.005357143,Consortship,0.44,Manual,1
11.122,1067,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,50,2,Y,Object shake,0.473214286,Consortship,2.12,Manual,1
11.126,1071,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,52,1,N,Object shake,0.473214286,Consortship,0.8,Manual,1
11.126,1073,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,53,2,Y,Object shake,0.473214286,Consortship,2.04,Manual,1
11.126,1072,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,53,2,Y,Swing,0.039285714,Consortship,0.6,Manual,1
11.126,1074,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,54,3,Y,Object shake,0.473214286,Consortship,4.88,Manual,1
11.126,1075,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,54,3,Y,Object shake,0.473214286,Consortship,0.76,Manual,1
11.126,1076,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,54,3,Y,Throw object,0.008928571,Consortship,0.32,Manual,1
11.127,1077,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,55,1,N,Object shake,0.473214286,Consortship,5.68,Manual,1
11.129,1081,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,56,5,Y,Hit object/ground,0.082142857,Consortship,0.72,Manual,1
11.129,1078,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,56,5,Y,Object shake,0.473214286,Consortship,1.76,Manual,1
11.129,1078,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,56,5,Y,Object shake,0.473214286,Consortship,0.76,Manual,1
11.129,1079,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,56,5,Y,Stomp object/ground,0.042857143,Consortship,0.48,Manual,1
11.129,1080,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,56,5,Y,Swing,0.039285714,Consortship,0.32,Manual,1
11.129,1083,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,57,2,Y,Object shake,0.473214286,Consortship,2.12,Manual,1
11.129,1082,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,57,2,Y,Stomp object/ground,0.042857143,Consortship,0.24,Manual,1
11.133,1085,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,59,1,N,Object shake,0.473214286,Consortship,2.24,Manual,1
11.133,1087,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,60,2,Y,Hit object/ground,0.082142857,Consortship,0.4,Manual,1
11.133,1086,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,60,2,Y,Object shake,0.473214286,Consortship,3.28,Manual,1
11.133,1088,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,61,4,Y,Jump,0.023214286,Consortship,0.72,Body,2
11.133,1091,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,61,4,Y,Object move,0.082142857,Consortship,0.32,Manual,1
