"","Communication_number","gesture_record_anon","morphs_anon","Signaller","Goal","Lumped_Gs","morph","Social_unit","log","rFq_morph","rFq_action"
"1","102417","Action_39","Morph_82","AN","Staysame","Presentgenitalsbackwards","PresentGenitals.1","Sonso",-0.44628710262842,0.0295293072824156,0.033303730017762
"2","102357","Action_2","Morph_3","BB","Groom","Bigloudscratch","BigLoudScratch.1","Sonso",0.392042087776024,0.0215364120781528,0.0577264653641208
"3","102357","Action_2","Morph_4","BB","Groom","Bigloudscratch","BigLoudScratch.2","Sonso",0.246860077931526,0.019316163410302,0.0577264653641208
"4","100466a","Action_20","Morph_50","BB","Play","Hitother","HitOther.6","Sonso",-1.02165124753198,0.00488454706927176,0.0404085257548845
"5","100468","Action_45","Morph_101","BB","Play","Reach","Reach.2","Sonso",-0.44628710262842,0.0370781527531083,0.0801509769094138
"6","100468","Action_15","Morph_35","BB","Play","Grabhold","GrabHold.1","Sonso",1.18784342239605,0.00932504440497336,0.0204262877442274
"7","100466a","Action_14","Morph_29","BB","Play","Grab","Grab.1","Sonso",-0.127833371509885,0.00821492007104796,0.0353019538188277
"8","100466a","Action_14","Morph_29","BB","Play","Grab","Grab.1","Sonso",-0.083381608939051,0.00821492007104796,0.0353019538188277
"9","101408","Action_2","Morph_3","BB","Groom","Bigloudscratch","BigLoudScratch.1","Sonso",0.985816794522765,0.0215364120781528,0.0577264653641208
"10","101304b","Action_2","Morph_4","BB","Groom","Bigloudscratch","BigLoudScratch.2","Sonso",0.336472236621213,0.019316163410302,0.0577264653641208
"11","102434","Action_38","Morph_79","BB","Directattention","Present","Present.5","Sonso",0.89199803930511,0.00688277087033748,0.0492895204262877
"12","100551","Action_45","Morph_100","BB","Affiliation","Reach","Reach.1","Sonso",0,0.0408525754884547,0.0801509769094138
"13","102272","Action_2","Morph_4","BH","Travel","Bigloudscratch","BigLoudScratch.2","Sonso",0.732367893713227,0.019316163410302,0.0577264653641208
"14","100804","Action_15","Morph_35","BH","Climbonme","Grabhold","GrabHold.1","Sonso",1.01523067972906,0.00932504440497336,0.0204262877442274
"15","102348","Action_23","Morph_47","BH","Playcontinue","Hittingother","HitOther.3","Sonso",0.470003629245736,0.00843694493783304,0.0157637655417407
"16","102350","Action_23","Morph_47","BH","Playcontinue","Hittingother","HitOther.3","Sonso",-0.385662480811985,0.00843694493783304,0.0157637655417407
"17","102349","Action_42","Morph_95","BH","Playcontinue","Push","Push.8","Sonso",-0.127833371509885,0.00133214920071048,0.0466252220248668
"18","101768","Action_41","Morph_84","BH","Climbonme","Pull","Pull.1","Sonso",-0.083381608939051,0.00821492007104796,0.0253108348134991
"19","102289a","Action_2","Morph_3","BH","Groom","Bigloudscratch","BigLoudScratch.1","Sonso",0.631271776841858,0.0215364120781528,0.0577264653641208
"20","102288","Action_38","Morph_77","BH","Directattention","Present","Present.3","Sonso",-0.083381608939051,0.00466252220248668,0.0492895204262877
"21","102456","Action_38","Morph_77","BH","Groom","Present","Present.3","Sonso",0.113328685307003,0.00466252220248668,0.0492895204262877
"22","102296","Action_38","Morph_75","BH","Directattention","Present","Present.1","Sonso",-0.0408219945202552,0.0170959147424512,0.0492895204262877
"23","102297","Action_38","Morph_76","BH","Directattention","Present","Present.2","Sonso",1.16315080980568,0.0135435168738899,0.0492895204262877
"24","102289a","Action_2","Morph_5","BH","Groom","Bigloudscratch","BigLoudScratch.3","Sonso",0.631271776841858,0.0119893428063943,0.0577264653641208
"25","102290","Action_38","Morph_75","BH","Directattention","Present","Present.1","Sonso",0.751416088683921,0.0170959147424512,0.0492895204262877
"26","102293","Action_38","Morph_75","BH","Directattention","Present","Present.1","Sonso",0.518793793415168,0.0170959147424512,0.0492895204262877
"27","101238","Action_41","Morph_86","BH","Play","Pull","Pull.3","Sonso",0.470003629245736,0.00510657193605684,0.0253108348134991
"28","102214","Action_42","Morph_91","BH","Play","Push","Push.4","Sonso",-1.13943428318836,0.00932504440497336,0.0466252220248668
"29","102292","Action_38","Morph_75","BH","Directattention","Present","Present.1","Sonso",0.609765571620894,0.0170959147424512,0.0492895204262877
"30","102380","Action_15","Morph_35","BH","Play","Grabhold","GrabHold.1","Sonso",0.985816794522765,0.00932504440497336,0.0204262877442274
"31","102380","Action_23","Morph_47","BH","Play","Hittingother","HitOther.3","Sonso",-0.27443684570176,0.00843694493783304,0.0157637655417407
"32","101350","Action_13","Morph_27","BH","Moveaway","Fling","Fling.1","Sonso",-0.916290731874155,0.00688277087033748,0.0117673179396092
"33","101350","Action_43","Morph_96","BH","Moveaway","Raise","Raise.1","Sonso",-0.27443684570176,0.00865896980461812,0.0113232682060391
"34","101350","Action_13","Morph_27","BH","Moveaway","Fling","Fling.1","Sonso",-0.653926467406664,0.00688277087033748,0.0117673179396092
"35","101350","Action_13","Morph_27","BH","Moveaway","Fling","Fling.1","Sonso",-1.02165124753198,0.00688277087033748,0.0117673179396092
"36","101379b","Action_39","Morph_82","BH","Sexualattention","Presentgenitalsbackwards","PresentGenitals.1","Sonso",0.418710334858185,0.0295293072824156,0.033303730017762
"37","101324","Action_39","Morph_82","BH","Sexualattention","Presentgenitalsbackwards","PresentGenitals.1","Sonso",-0.44628710262842,0.0295293072824156,0.033303730017762
"38","100766b","Action_39","Morph_82","BH","Sexualattention","Presentgenitalsbackwards","PresentGenitals.1","Sonso",0.307484699747961,0.0295293072824156,0.033303730017762
"39","101129b","Action_57","Morph_115","BT","Play","Stompobject","StompObject.1","Sonso",-0.510825623765991,0.0337477797513321,0.0424067495559503
"40","100529","Action_29","Morph_58","BT","Play","Locomotegallop","LocomoteGallop.1","Sonso",-0.27443684570176,0.00821492007104796,0.00821492007104796
"41","102452","Action_55","Morph_116","BT","Play","Stompingobject","StompObject.2","Sonso",0.418710334858185,0.0148756660746004,0.0230905861456483
"42","102454","Action_57","Morph_115","BT","Playcontinue","Stompobject","StompObject.1","Sonso",0.182321556793955,0.0337477797513321,0.0424067495559503
"43","102452","Action_20","Morph_45","BT","Play","Hitother","HitOther.1","Sonso",-0.27443684570176,0.0202042628774423,0.0404085257548845
"44","100898a","Action_33","Morph_61","BT","Play","Objectmove","ObjectMove.1","Sonso",0.672944473242426,0.0317495559502664,0.0406305506216696
"45","101008b","Action_20","Morph_50","BT","Play","Hitother","HitOther.6","Sonso",0.0769610411361284,0.00488454706927176,0.0404085257548845
"46","101172","Action_38","Morph_77","BT","Groom","Present","Present.3","Sonso",-0.083381608939051,0.00466252220248668,0.0492895204262877
"47","101006","Action_25","Morph_52","BT","Playcontinue","Kickpunch","KickPunch.1","Sonso",-0.328504066972036,0.0022202486678508,0.0022202486678508
"48","100999","Action_45","Morph_100","BT","Giveme","Reach","Reach.1","Sonso",-0.579818495252942,0.0408525754884547,0.0801509769094138
"49","100999","Action_45","Morph_100","BT","Giveme","Reach","Reach.1","Sonso",-0.328504066972036,0.0408525754884547,0.0801509769094138
"50","100772p2","Action_34","Morph_66","DN","Groom","Objectshake","ObjectShake.2","Sonso",1.17557332980424,0.0237566607460036,0.108792184724689
"51","100772p1","Action_2","Morph_6","DN","Groom","Bigloudscratch","BigLoudScratch.4","Sonso",0.858661619037519,0.00421847246891652,0.0577264653641208
"52","100772p1","Action_34","Morph_65","DN","Groom","Objectshake","ObjectShake.1","Sonso",0.307484699747961,0.0746003552397869,0.108792184724689
"53","100772p1","Action_2","Morph_4","DN","Groom","Bigloudscratch","BigLoudScratch.2","Sonso",0.56531380905006,0.019316163410302,0.0577264653641208
"54","102394","Action_34","Morph_65","DN","Moveaway","Objectshake","ObjectShake.1","Sonso",0.0769610411361284,0.0746003552397869,0.108792184724689
"55","102394","Action_34","Morph_65","DN","Moveaway","Objectshake","ObjectShake.1","Sonso",-0.127833371509885,0.0746003552397869,0.108792184724689
"56","100626","Action_57","Morph_115","DN","Followme","Stompobject","StompObject.1","Sonso",-0.22314355131421,0.0337477797513321,0.0424067495559503
"57","100648","Action_17","Morph_39","DN","Followme","Hitobject","HitObject.1","Sonso",-0.44628710262842,0.0430728241563055,0.0559502664298401
"58","100645p3","Action_17","Morph_39","DN","Followme","Hitobject","HitObject.1","Sonso",-0.82098055206983,0.0430728241563055,0.0559502664298401
"59","100628a","Action_33","Morph_61","DN","Followme","Objectmove","ObjectMove.1","Sonso",0.470003629245736,0.0317495559502664,0.0406305506216696
"60","100637p4","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.02961941718116,0.0237566607460036,0.108792184724689
"61","100645p1","Action_24","Morph_51","DN","Followme","Jump","Jump.1","Sonso",0,0.00732682060390764,0.00732682060390764
"62","100626","Action_57","Morph_115","DN","Followme","Stompobject","StompObject.1","Sonso",-0.22314355131421,0.0337477797513321,0.0424067495559503
"63","100654","Action_17","Morph_40","DN","Followme","Hitobject","HitObject.2","Sonso",-0.7339691750802,0.0119893428063943,0.0559502664298401
"64","100625","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.13783300182139,0.0237566607460036,0.108792184724689
"65","100643p1","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.182321556793955,0.0746003552397869,0.108792184724689
"66","100634","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.0392207131532813,0.0746003552397869,0.108792184724689
"67","100653a","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",0.609765571620894,0.0237566607460036,0.108792184724689
"68","100625","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.955511445027436,0.0746003552397869,0.108792184724689
